,index,Latitude,City,Country,Longitude,Max Temperature (F),Humidity (%),Cloudiness (%),Wind Speed (mph),Date
150,150,51.32,kamenka,ru,42.77,28.0,85.0,100.0,18.75,1579897145
151,151,21.28,dzilam gonzalez,mx,-88.93,73.06,73.0,66.0,13.09,1579897297
152,152,-34.0,kruisfontein,za,24.73,70.0,78.0,0.0,6.89,1579897088
153,153,66.42,udachnyy,ru,112.4,-27.4,82.0,100.0,6.71,1579897360
154,154,62.91,bud,no,6.91,37.4,68.0,75.0,32.21,1579897373
155,155,3.78,mahibadhoo,mv,72.97,81.97,81.0,73.0,18.21,1579897374
156,156,-17.73,tautira,pf,-149.15,87.8,66.0,20.0,4.7,1579897374
157,157,17.65,yarada,in,83.27,71.6,94.0,20.0,2.21,1579897374
158,158,-9.86,soe,id,124.28,74.86,86.0,100.0,3.2,1579897340
159,159,43.98,komsomolskiy,ru,46.7,29.95,67.0,0.0,8.66,1579896815
160,160,13.07,oistins,bb,-59.53,84.2,70.0,40.0,11.41,1579897132
161,161,28.37,naze,jp,129.48,64.4,100.0,100.0,1.12,1579897302
162,162,32.3,asfi,ma,-9.24,56.39,82.0,100.0,17.2,1579896968
163,163,4.93,cayenne,gf,-52.33,84.2,70.0,20.0,11.41,1579897310
164,164,6.12,hambantota,lk,81.12,79.9,76.0,0.0,23.42,1579896809
165,165,-21.36,saint-philippe,re,55.77,78.8,100.0,72.0,20.8,1579897301
166,166,-6.43,sokoni,tz,39.55,80.6,88.0,20.0,5.82,1579897375
167,167,-5.35,luebo,cd,21.42,72.81,63.0,66.0,1.1,1579897375
168,168,-15.77,kununurra,au,128.73,84.2,89.0,79.0,2.24,1579897375
169,169,19.37,west bay,ky,-81.42,80.6,61.0,40.0,9.17,1579897375
170,170,35.83,zurrieq,mt,14.47,57.2,82.0,40.0,12.75,1579897375
171,171,-31.43,port macquarie,au,152.92,73.99,94.0,90.0,1.12,1579897141
172,172,46.77,saint-pierre,pm,-56.17,28.4,74.0,20.0,11.41,1579897375
173,173,44.02,changji,cn,87.32,-0.4,84.0,40.0,2.24,1579897375
174,174,-0.95,luwuk,id,122.79,80.67,71.0,20.0,4.23,1579896816
175,175,48.96,murdochville,ca,-65.5,9.3,92.0,0.0,2.62,1579897375
176,176,-28.41,theunissen,za,26.7,66.11,66.0,100.0,2.57,1579897375
177,177,-43.3,rawson,ar,-65.1,73.94,43.0,100.0,16.2,1579897375
178,178,50.72,solnechnyy,ru,136.63,-14.26,76.0,73.0,3.8,1579897376
179,179,48.93,ucluelet,ca,-125.55,48.99,93.0,75.0,9.17,1579897376
180,180,-45.87,dunedin,nz,170.5,69.01,68.0,100.0,12.82,1579897111
181,181,-11.1,hualmay,pe,-77.61,81.14,51.0,84.0,9.8,1579897376
182,182,69.19,snezhnogorsk,ru,33.25,3.2,84.0,75.0,2.24,1579897376
183,183,35.41,jining,cn,116.58,37.27,52.0,100.0,1.79,1579897262
184,184,12.63,mamallapuram,in,80.17,77.0,88.0,20.0,5.12,1579897376
185,185,-17.5,katima mulilo,na,24.27,82.4,54.0,100.0,5.82,1579897376
186,186,33.47,dana point,us,-117.7,75.0,64.0,40.0,8.05,1579897376
187,187,-21.37,saint-joseph,re,55.62,78.8,100.0,100.0,20.8,1579897377
188,188,14.04,puerto cabezas,ni,-83.39,82.4,83.0,40.0,6.93,1579897377
189,189,41.76,korla,cn,86.15,11.52,83.0,84.0,1.23,1579897377
190,190,35.6,linxia,cn,103.21,17.15,73.0,2.0,1.14,1579897377
191,191,69.31,andenes,no,16.12,30.0,92.0,75.0,8.05,1579897377
192,192,72.79,upernavik,gl,-56.15,-13.31,96.0,73.0,5.01,1579897099
193,193,-14.27,sambava,mg,50.17,72.46,98.0,100.0,1.54,1579897337
194,194,9.49,bandarbeyla,so,50.81,79.11,84.0,100.0,18.86,1579897377
195,195,35.73,hasaki,jp,140.83,39.2,68.0,75.0,3.36,1579897121
196,196,-21.15,ikalamavony,mg,46.58,66.87,82.0,100.0,8.16,1579897377
197,197,-46.13,tuatapere,nz,167.68,59.0,96.0,100.0,7.0,1579897108
198,198,63.59,mayo,ca,-135.9,6.8,77.0,90.0,3.36,1579897378
199,199,60.92,narsaq,gl,-46.05,24.8,79.0,75.0,10.92,1579897378
200,200,11.67,port blair,in,92.75,79.66,71.0,31.0,12.75,1579897275
201,201,14.9,sao filipe,cv,-24.5,72.93,70.0,0.0,11.1,1579897378
202,202,29.06,teguise,es,-13.56,62.6,72.0,20.0,4.7,1579897378
203,203,-3.8,bengkulu,id,102.27,74.12,96.0,100.0,4.92,1579897378
204,204,57.05,sitka,us,-135.33,35.6,85.0,90.0,6.93,1579897378
205,205,-17.71,caravelas,br,-39.25,78.78,86.0,100.0,22.19,1579897378
206,206,-16.7,fare,pf,-151.02,82.31,78.0,14.0,13.78,1579897378
207,207,49.21,landau,de,8.11,36.0,88.0,90.0,3.67,1579897379
208,208,12.52,oranjestad,aw,-70.03,84.2,62.0,20.0,10.29,1579897323
209,209,41.56,marinhas,pt,-8.78,53.01,81.0,12.0,5.82,1579897379
210,210,-51.62,rio gallegos,ar,-69.22,62.6,55.0,40.0,21.92,1579897379
211,211,55.74,thompson,ca,-97.86,17.6,78.0,75.0,6.93,1579897171
212,212,11.47,qandala,so,49.87,74.3,79.0,61.0,1.39,1579897379
213,213,-36.72,talcahuano,cl,-73.12,75.2,50.0,0.0,18.34,1579897369
214,214,17.49,najran,sa,44.13,59.0,38.0,5.0,8.72,1579897379
215,215,-10.07,ruangwa,tz,38.93,70.66,95.0,67.0,2.91,1579897379
216,216,-39.03,general roca,ar,-67.58,93.2,15.0,0.0,8.05,1579897379
217,217,-9.66,waingapu,id,120.26,83.1,72.0,15.0,2.98,1579897379
218,218,-2.57,kavieng,pg,150.8,83.05,69.0,17.0,8.16,1579897380
219,219,32.5,farah,af,62.5,45.59,91.0,71.0,2.91,1579897380
220,220,37.5,murgab,tm,61.97,39.2,86.0,7.0,2.24,1579897380
221,221,43.41,north bend,us,-124.22,55.99,93.0,90.0,5.82,1579897380
222,222,-16.28,monze,zm,27.48,64.45,95.0,8.0,5.28,1579897380
223,223,43.8,kitami,jp,143.89,13.75,65.0,2.0,14.07,1579897380
224,224,64.5,nome,us,-165.41,-11.99,75.0,1.0,5.97,1579897380
225,225,10.07,asosa,et,34.53,67.28,32.0,31.0,7.52,1579897380
226,226,-16.48,faanui,pf,-151.75,82.24,78.0,0.0,14.47,1579897380
227,227,-33.7,chuy,uy,-53.46,80.91,52.0,0.0,7.31,1579897381
228,228,65.28,norman wells,ca,-126.83,-5.8,70.0,90.0,8.05,1579897381
229,229,2.82,boa vista,br,-60.67,93.2,38.0,75.0,9.17,1579897237
230,230,32.74,lamesa,us,-101.95,59.0,44.0,75.0,14.99,1579897381
231,231,17.02,salalah,om,54.09,77.0,73.0,20.0,4.7,1579897162
232,232,56.96,novobiryusinskiy,ru,97.71,30.33,93.0,100.0,9.31,1579897266
233,233,-34.48,rocha,uy,-54.33,84.27,41.0,0.0,6.35,1579897134
234,234,-16.96,caiaponia,br,-51.81,75.61,90.0,83.0,5.19,1579897191
235,235,-22.67,vao,nc,167.48,76.87,81.0,28.0,19.28,1579897381
236,236,35.76,maryville,us,-83.97,52.0,87.0,90.0,6.93,1579897274
237,237,-4.62,victoria,sc,55.45,84.2,83.0,75.0,3.36,1579897381
238,238,54.17,ust-uda,ru,103.03,4.48,91.0,76.0,6.02,1579897382
239,239,68.12,gravdal,no,13.5,30.2,80.0,40.0,5.82,1579897382
240,240,32.07,sangin,af,64.84,41.14,81.0,36.0,4.63,1579897382
241,241,-20.32,port hedland,au,118.57,82.4,88.0,0.0,6.08,1579897382
242,242,39.05,lagoa,pt,-27.98,59.25,74.0,100.0,13.65,1579897382
243,243,30.05,yuyao,cn,121.15,48.99,93.0,90.0,4.47,1579897382
244,244,71.97,khatanga,ru,102.5,-25.78,89.0,81.0,8.75,1579897382
245,245,63.44,vestmannaeyjar,is,-20.27,35.06,90.0,100.0,24.67,1579896814
246,246,50.15,pinawa,ca,-95.88,23.16,87.0,70.0,3.04,1579897382
247,247,-17.83,teahupoo,pf,-149.27,87.8,66.0,20.0,4.7,1579897382
248,248,18.2,les cayes,ht,-73.75,79.63,61.0,0.0,7.09,1579897382
249,249,60.12,uray,ru,64.78,5.85,96.0,97.0,6.49,1579897383
250,250,49.75,matagami,ca,-77.63,17.6,85.0,90.0,3.36,1579897383
251,251,29.03,jalu,ly,21.55,54.46,63.0,0.0,5.35,1579897383
252,252,48.66,horn,at,15.66,32.0,92.0,90.0,2.24,1579897383
253,253,-20.34,bambous virieux,mu,57.76,80.6,94.0,75.0,12.75,1579896812
254,254,66.15,pangnirtung,ca,-65.71,-27.4,67.0,20.0,2.55,1579897118
255,255,53.94,mnogovershinnyy,ru,139.92,-8.28,97.0,100.0,5.59,1579897383
